"Time","signing","verifying"
2025-09-10 18:59:20,456 ms,225 ms
2025-09-10 18:59:25,457 ms,225 ms
2025-09-10 18:59:30,457 ms,225 ms
2025-09-10 18:59:35,457 ms,226 ms
2025-09-10 18:59:40,457 ms,226 ms
2025-09-10 18:59:45,457 ms,226 ms
2025-09-10 18:59:50,457 ms,226 ms
2025-09-10 18:59:55,457 ms,227 ms
2025-09-10 19:00:00,457 ms,227 ms
2025-09-10 19:00:05,458 ms,227 ms
2025-09-10 19:00:10,458 ms,227 ms
2025-09-10 19:00:15,458 ms,228 ms
2025-09-10 19:00:20,458 ms,228 ms
2025-09-10 19:00:25,459 ms,228 ms
2025-09-10 19:00:30,459 ms,228 ms
2025-09-10 19:00:35,460 ms,228 ms
2025-09-10 19:00:40,460 ms,228 ms
2025-09-10 19:00:45,459 ms,228 ms
2025-09-10 19:00:50,459 ms,228 ms
2025-09-10 19:00:55,460 ms,229 ms
2025-09-10 19:01:00,460 ms,229 ms
2025-09-10 19:01:05,461 ms,229 ms
2025-09-10 19:01:10,461 ms,229 ms
2025-09-10 19:01:15,462 ms,229 ms
2025-09-10 19:01:20,462 ms,229 ms
2025-09-10 19:01:25,462 ms,230 ms
2025-09-10 19:01:30,462 ms,230 ms
2025-09-10 19:01:35,463 ms,230 ms
2025-09-10 19:01:40,463 ms,230 ms
2025-09-10 19:01:45,463 ms,230 ms
2025-09-10 19:01:50,463 ms,230 ms
2025-09-10 19:01:55,463 ms,231 ms
2025-09-10 19:02:00,463 ms,231 ms
2025-09-10 19:02:05,463 ms,231 ms
