"Time","verifying"
2025-09-10 16:44:00,85.5 ms
2025-09-10 16:44:05,85.9 ms
2025-09-10 16:44:10,85.9 ms
2025-09-10 16:44:15,86.0 ms
2025-09-10 16:44:20,86.0 ms
2025-09-10 16:44:25,85.8 ms
2025-09-10 16:44:30,85.8 ms
2025-09-10 16:44:35,85.9 ms
2025-09-10 16:44:40,85.9 ms
2025-09-10 16:44:45,85.8 ms
2025-09-10 16:44:50,85.8 ms
2025-09-10 16:44:55,85.8 ms
2025-09-10 16:45:00,85.8 ms
2025-09-10 16:45:05,85.8 ms
2025-09-10 16:45:10,85.8 ms
2025-09-10 16:45:15,85.8 ms
2025-09-10 16:45:20,85.8 ms
2025-09-10 16:45:25,85.8 ms
2025-09-10 16:45:30,85.8 ms
2025-09-10 16:45:35,85.8 ms
2025-09-10 16:45:40,85.8 ms
2025-09-10 16:45:45,85.7 ms
2025-09-10 16:45:50,85.7 ms
2025-09-10 16:45:55,85.9 ms
2025-09-10 16:46:00,85.9 ms
2025-09-10 16:46:05,86.0 ms
2025-09-10 16:46:10,86.0 ms
2025-09-10 16:46:15,86.0 ms
2025-09-10 16:46:20,86.0 ms
2025-09-10 16:46:25,86.1 ms
2025-09-10 16:46:30,86.1 ms
2025-09-10 16:46:35,86.1 ms
2025-09-10 16:46:40,86.1 ms
2025-09-10 16:46:45,86.1 ms
2025-09-10 16:46:50,86.1 ms
2025-09-10 16:46:55,86.1 ms
2025-09-10 16:47:00,86.1 ms
2025-09-10 16:47:05,86.2 ms
2025-09-10 16:47:10,86.2 ms
