"Time","signing","verifying"
2025-09-10 21:56:55,409 ms,170 ms
2025-09-10 21:57:00,409 ms,170 ms
2025-09-10 21:57:05,410 ms,170 ms
2025-09-10 21:57:10,410 ms,170 ms
2025-09-10 21:57:15,409 ms,171 ms
2025-09-10 21:57:20,409 ms,171 ms
2025-09-10 21:57:25,408 ms,171 ms
2025-09-10 21:57:30,408 ms,171 ms
2025-09-10 21:57:35,411 ms,171 ms
2025-09-10 21:57:40,411 ms,171 ms
2025-09-10 21:57:45,412 ms,171 ms
2025-09-10 21:57:50,412 ms,171 ms
2025-09-10 21:57:55,412 ms,172 ms
2025-09-10 21:58:00,412 ms,172 ms
2025-09-10 21:58:05,413 ms,172 ms
2025-09-10 21:58:10,413 ms,172 ms
2025-09-10 21:58:15,412 ms,172 ms
2025-09-10 21:58:20,412 ms,172 ms
2025-09-10 21:58:25,412 ms,172 ms
2025-09-10 21:58:30,412 ms,172 ms
2025-09-10 21:58:35,412 ms,172 ms
2025-09-10 21:58:40,412 ms,172 ms
2025-09-10 21:58:45,412 ms,173 ms
2025-09-10 21:58:50,412 ms,173 ms
2025-09-10 21:58:55,412 ms,173 ms
2025-09-10 21:59:00,412 ms,173 ms
2025-09-10 21:59:05,412 ms,173 ms
2025-09-10 21:59:10,412 ms,173 ms
2025-09-10 21:59:15,412 ms,173 ms
2025-09-10 21:59:20,412 ms,173 ms
2025-09-10 21:59:25,412 ms,173 ms
2025-09-10 21:59:30,412 ms,173 ms
2025-09-10 21:59:35,411 ms,174 ms
2025-09-10 21:59:40,411 ms,174 ms
2025-09-10 21:59:45,412 ms,174 ms
2025-09-10 21:59:50,412 ms,174 ms
2025-09-10 21:59:55,412 ms,174 ms
